,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,Day,Time_Range
20,20/10/2015,11,indian,male,fat,30-40,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,Tuesday,morning
21,20/10/2015,11,foreigner ,male,moderate,50-60,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,Tuesday,morning
22,20/10/2015,11,malay,female,fat,30-40,yes,young,big,white,casual,red,long sleeve,blue,long,blankets,3,7,no,Tuesday,morning
23,20/10/2015,13,chinese,female,thin,20-30,no,no_kids,small,white,casual,orange,short_sleeve,black,long,blankets,3,7,yes,Tuesday,afternoon
24,20/10/2015,12,chinese,female,moderate,40-50,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,5,7,no,Tuesday,morning
25,20/10/2015,13,chinese,female,moderate,40-50,no,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,Tuesday,afternoon
26,20/10/2015,13,chinese,male,moderate,40-50,no,no_kids,big,white,casual,black,short_sleeve,brown,long,clothes,6,9,no,Tuesday,afternoon
27,20/10/2015,14,chinese,male,thin,30-40,yes,young,big,grey,casual,grey,long sleeve,white,short,blankets,5,9,yes,Tuesday,afternoon
28,20/10/2015,14,indian,male,fat,30-40,no,no_kids,big,blue,casual,black,long sleeve,blue,long,clothes,4,10,no,Tuesday,afternoon
29,20/10/2015,14,indian,male,thin,40-50,no,no_kids,big,purple,casual,black,short_sleeve,blue,long,blankets,6,9,no,Tuesday,afternoon
30,20/10/2015,15,malay,female,fat,30-40,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,Tuesday,afternoon
31,20/10/2015,15,chinese,female,thin,30-40,yes,toddler,big,pink,casual,white,short_sleeve,white,short,clothes,5,9,yes,Tuesday,afternoon
32,20/10/2015,15,foreigner ,male,moderate,40-50,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,8,no,Tuesday,afternoon
33,20/10/2015,16,malay,female,fat,50-60,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,Tuesday,afternoon
34,20/10/2015,16,chinese,male,thin,40-50,no,no_kids,big,red,casual,orange,short_sleeve,black,long,clothes,4,7,no,Tuesday,afternoon
35,20/10/2015,18,malay,female,thin,40-50,no,no_kids,small,white,casual,white,short_sleeve,grey,long,clothes,6,10,no,Tuesday,afternoon
36,20/10/2015,18,malay,male,fat,30-40,no,no_kids,big,blue,formal,white,short_sleeve,brown,long,clothes,4,7,yes,Tuesday,afternoon
37,20/10/2015,18,chinese,female,thin,30-40,no,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,Tuesday,afternoon
38,20/10/2015,18,malay,female,thin,40-50,no,no_kids,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,Tuesday,afternoon
39,20/10/2015,18,malay,female,moderate,30-40,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,Tuesday,afternoon
40,20/10/2015,18,malay,female,fat,30-40,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no,Tuesday,afternoon
41,20/10/2015,20,malay,female,fat,30-40,no,no_kids,big,blue,casual,grey,long sleeve,black,long,blankets,4,8,no,Tuesday,night
42,20/10/2015,20,malay,male,thin,30-40,no,no_kids,big,red,casual,black,short_sleeve,blue,long,clothes,4,10,yes,Tuesday,night
43,20/10/2015,20,malay,female,moderate,50-60,no,no_kids,big,brown,casual,blue,short_sleeve,red,long,clothes,6,9,no,Tuesday,night
44,20/10/2015,20,indian,female,moderate,40-50,no,no_kids,big,blue,formal,grey,long sleeve,black,long,blankets,3,7,no,Tuesday,night
45,20/10/2015,20,malay,female,moderate,50-60,no,no_kids,big,black,casual,red,long sleeve,red,long,blankets,6,8,no,Tuesday,night
46,20/10/2015,20,indian,male,fat,40-50,no,no_kids,big,purple,casual,red,short_sleeve,black,short,clothes,5,7,no,Tuesday,night
47,20/10/2015,20,malay,female,fat,20-30,no,no_kids,big,blue,casual,pink,long sleeve,brown,long,blankets,3,9,yes,Tuesday,night
48,20/10/2015,21,indian,male,moderate,40-50,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,4,8,no,Tuesday,night
49,20/10/2015,21,indian,male,fat,40-50,no,no_kids,big,red,casual,green,short_sleeve,blue,short,clothes,5,10,no,Tuesday,night
50,20/10/2015,21,malay,female,fat,40-50,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,Tuesday,night
51,20/10/2015,22,indian,female,fat,40-50,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,Tuesday,night
52,20/10/2015,22,foreigner ,male,moderate,50-60,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no,Tuesday,night
53,20/10/2015,22,foreigner ,male,thin,30-40,no,no_kids,big,yellow,casual,white,short_sleeve,black,long,clothes,3,8,no,Tuesday,night
54,20/10/2015,22,chinese,female,thin,30-40,no,no_kids,big,green,casual,blue,long sleeve,yellow,short,clothes,6,7,no,Tuesday,night
55,20/10/2015,22,malay,male,thin,50-60,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,Tuesday,night
56,20/10/2015,22,malay,male,thin,20-30,yes,toddler,big,black,casual,white,short_sleeve,blue,long,clothes,3,10,no,Tuesday,night
57,20/10/2015,22,indian,male,fat,40-50,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,Tuesday,night
58,20/10/2015,22,indian,female,fat,20-30,yes,young,small,white,traditional,brown,short_sleeve,blue,long,clothes,5,8,no,Tuesday,night
59,20/10/2015,22,malay,female,thin,40-50,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,Tuesday,night
60,20/10/2015,22,malay,female,moderate,50-60,no,no_kids,small,orange,casual,black,short_sleeve,grey,long,clothes,3,9,no,Tuesday,night
61,20/10/2015,22,malay,male,thin,20-30,yes,toddler,big,purple,casual,white,short_sleeve,blue,long,clothes,4,10,no,Tuesday,night
62,20/10/2015,22,indian,female,moderate,50-60,yes,baby,big,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no,Tuesday,night
63,20/10/2015,23,indian,male,thin,30-40,no,no_kids,small,yellow,casual,orange,short_sleeve,black,long,blankets,5,10,no,Tuesday,night
64,20/10/2015,23,indian,male,moderate,40-50,no,no_kids,small,white,formal,blue,long sleeve,black,long,blankets,6,10,yes,Tuesday,night
65,20/10/2015,23,malay,male,thin,40-50,no,no_kids,small,red,casual,brown,long sleeve,blue,long,blankets,4,8,no,Tuesday,night
66,20/10/2015,0,malay,female,moderate,40-50,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,Tuesday,midnight
67,21/10/2015,2,indian,male,thin,20-30,no,no_kids,small,white,casual,black,short_sleeve,white,short,clothes,6,7,no,Wednesday,midnight
68,21/10/2015,7,indian,female,fat,40-50,no,no_kids,small,blue,casual,blue,short_sleeve,white,long,clothes,4,8,no,Wednesday,midnight
69,21/10/2015,7,chinese,female,moderate,50-60,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,3,7,no,Wednesday,midnight
70,21/10/2015,11,chinese,female,thin,40-50,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,Wednesday,morning
71,21/10/2015,11,malay,male,moderate,30-40,no,no_kids,big,blue,casual,orange,short_sleeve,blue,long,clothes,4,8,yes,Wednesday,morning
72,21/10/2015,11,malay,male,moderate,20-30,no,no_kids,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,Wednesday,morning
73,21/10/2015,12,chinese,male,thin,30-40,no,no_kids,small,white,casual,red,short_sleeve,blue,long,clothes,3,9,yes,Wednesday,morning
74,21/10/2015,12,chinese,female,moderate,30-40,no,no_kids,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,Wednesday,morning
75,21/10/2015,12,malay,female,thin,30-40,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,Wednesday,morning
76,21/10/2015,12,chinese,male,thin,50-60,no,no_kids,big,white,casual,red,short_sleeve,black,long,clothes,3,8,no,Wednesday,morning
77,21/10/2015,13,malay,female,thin,30-40,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,6,10,no,Wednesday,afternoon
78,21/10/2015,13,malay,male,moderate,50-60,no,no_kids,small,white,casual,green,short_sleeve,blue,long,clothes,5,7,no,Wednesday,afternoon
79,21/10/2015,14,chinese,female,fat,40-50,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,Wednesday,afternoon
80,21/10/2015,14,malay,male,fat,30-40,yes,toddler,big,white,casual,grey,short_sleeve,black,long,clothes,3,7,no,Wednesday,afternoon
81,21/10/2015,14,malay,female,moderate,40-50,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,Wednesday,afternoon
82,21/10/2015,14,chinese,female,thin,30-40,no,no_kids,big,black,casual,red,short_sleeve,brown,long,clothes,3,9,no,Wednesday,afternoon
83,21/10/2015,15,foreigner ,female,moderate,40-50,yes,toddler,big,blue,traditional,purple,long sleeve,purple,long,blankets,4,8,no,Wednesday,afternoon
84,21/10/2015,16,chinese,male,moderate,50-60,no,no_kids,big,white,casual,pink,short_sleeve,yellow,short,clothes,4,9,no,Wednesday,afternoon
85,21/10/2015,19,malay,female,fat,30-40,no,no_kids,big,blue,traditional,brown,long sleeve,brown,long,clothes,6,8,no,Wednesday,afternoon
86,21/10/2015,19,malay,female,moderate,50-60,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,clothes,4,7,yes,Wednesday,afternoon
87,21/10/2015,19,indian,male,moderate,40-50,no,no_kids,big,black,casual,black,short_sleeve,blue,long,clothes,3,7,no,Wednesday,afternoon
88,21/10/2015,21,malay,male,thin,50-60,no,no_kids,big,black,traditional,brown,long sleeve,brown,long,clothes,6,10,no,Wednesday,night
89,21/10/2015,21,malay,male,thin,30-40,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no,Wednesday,night
90,21/10/2015,21,chinese,male,moderate,30-40,no,no_kids,big,blue,casual,blue,short_sleeve,red,short,clothes,5,9,yes,Wednesday,night
91,21/10/2015,21,indian,male,thin,30-40,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,Wednesday,night
92,22/10/2015,7,malay,female,moderate,40-50,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,Thursday,midnight
93,22/10/2015,9,malay,female,fat,30-40,no,no_kids,big,white,traditional,blue,long sleeve,black,long,clothes,5,7,no,Thursday,morning
94,22/10/2015,9,malay,female,moderate,50-60,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,Thursday,morning
95,22/10/2015,9,chinese,female,thin,40-50,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,Thursday,morning
96,22/10/2015,10,malay,male,moderate,50-60,no,no_kids,big,orange,casual,grey,short_sleeve,yellow,long,clothes,3,8,yes,Thursday,morning
97,22/10/2015,10,malay,female,thin,40-50,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,Thursday,morning
98,22/10/2015,10,malay,female,thin,40-50,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,Thursday,morning
99,22/10/2015,13,foreigner ,female,moderate,40-50,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,Thursday,afternoon
100,22/10/2015,13,malay,female,fat,50-60,no,no_kids,big,blue,formal,pink,long sleeve,black,long,clothes,3,7,no,Thursday,afternoon
101,22/10/2015,13,malay,male,fat,40-50,no,no_kids,big,green,casual,green,short_sleeve,black,long,clothes,3,10,no,Thursday,afternoon
102,22/10/2015,14,malay,male,moderate,50-60,no,no_kids,small,white,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,Thursday,afternoon
103,22/10/2015,15,malay,female,fat,30-40,no,no_kids,small,green,casual,red,long sleeve,purple,long,clothes,4,7,no,Thursday,afternoon
104,22/10/2015,15,malay,female,fat,30-40,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,Thursday,afternoon
105,22/10/2015,18,indian,male,fat,40-50,no,no_kids,big,white,casual,yellow,short_sleeve,grey,short,clothes,5,7,no,Thursday,afternoon
106,22/10/2015,19,chinese,female,thin,40-50,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,Thursday,afternoon
107,22/10/2015,20,foreigner ,male,moderate,50-60,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,7,no,Thursday,night
108,22/10/2015,20,chinese,male,thin,40-50,no,no_kids,big,black,casual,black,short_sleeve,blue,long,blankets,5,8,no,Thursday,night
109,22/10/2015,22,indian,male,moderate,30-40,no,no_kids,big,white,casual,green,short_sleeve,brown,short,clothes,3,9,no,Thursday,night
110,22/10/2015,22,chinese,female,thin,30-40,no,no_kids,big,blue,casual,white,short_sleeve,brown,short,clothes,3,9,no,Thursday,night
111,22/10/2015,23,indian,male,fat,40-50,no,no_kids,big,black,casual,blue,short_sleeve,black,short,clothes,6,7,no,Thursday,night
112,23/10/2015,1,chinese,female,fat,20-30,yes,toddler,big,red,casual,red,short_sleeve,green,long,clothes,6,10,no,Friday,midnight
113,23/10/2015,1,chinese,male,fat,30-40,no,no_kids,big,yellow,casual,brown,short_sleeve,black,long,clothes,3,8,yes,Friday,midnight
114,23/10/2015,1,indian,female,fat,30-40,no,no_kids,big,white,casual,grey,short_sleeve,black,long,clothes,3,10,no,Friday,midnight
115,23/10/2015,2,malay,male,fat,30-40,no,no_kids,big,red,casual,blue,short_sleeve,grey,long,clothes,5,7,no,Friday,midnight
116,23/10/2015,4,indian,male,moderate,30-40,no,no_kids,big,yellow,formal,white,short_sleeve,black,long,clothes,5,8,no,Friday,midnight
117,23/10/2015,7,malay,female,fat,50-60,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes,Friday,midnight
118,23/10/2015,7,malay,male,fat,30-40,no,no_kids,big,red,casual,red,long sleeve,brown,short,clothes,3,7,no,Friday,midnight
119,23/10/2015,10,indian,male,thin,40-50,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,5,9,yes,Friday,morning
120,23/10/2015,11,malay,male,fat,50-60,yes,baby,big,grey,casual,red,short_sleeve,brown,long,clothes,3,9,no,Friday,morning
121,23/10/2015,11,malay,female,moderate,50-60,yes,toddler,big,brown,formal,pink,long sleeve,black,long,clothes,4,7,no,Friday,morning
122,23/10/2015,11,indian,male,moderate,30-40,no,no_kids,small,green,formal,white,short_sleeve,black,long,clothes,3,9,no,Friday,morning
123,23/10/2015,11,malay,male,moderate,30-40,no,no_kids,big,orange,formal,green,short_sleeve,grey,long,clothes,4,10,no,Friday,morning
124,23/10/2015,12,malay,female,fat,50-60,no,no_kids,big,blue,casual,black,long sleeve,black,long,clothes,6,10,no,Friday,morning
125,23/10/2015,12,indian,female,fat,20-30,no,no_kids,big,white,casual,black,short_sleeve,grey,long,blankets,4,10,no,Friday,morning
126,23/10/2015,12,malay,male,fat,20-30,no,no_kids,big,brown,casual,black,short_sleeve,black,long,clothes,3,8,no,Friday,morning
127,23/10/2015,12,indian,male,thin,40-50,no,no_kids,big,red,casual,black,short_sleeve,red,short,blankets,4,8,yes,Friday,morning
128,23/10/2015,12,malay,female,thin,50-60,no,no_kids,big,blue,casual,blue,long sleeve,blue,short,clothes,5,8,no,Friday,morning
129,23/10/2015,12,malay,female,fat,30-40,no,no_kids,big,black,casual,black,short_sleeve,black,long,clothes,6,8,no,Friday,morning
130,23/10/2015,15,malay,female,thin,30-40,no,no_kids,big,white,casual,red,short_sleeve,blue,long,clothes,3,7,no,Friday,afternoon
131,23/10/2015,16,foreigner ,female,moderate,30-40,no,no_kids,big,white,formal,grey,long sleeve,grey,long,clothes,6,9,no,Friday,afternoon
132,23/10/2015,16,indian,female,fat,30-40,no,no_kids,big,grey,casual,grey,long sleeve,black,long,clothes,4,9,no,Friday,afternoon
133,23/10/2015,16,malay,female,thin,20-30,yes,baby,big,white,casual,blue,long sleeve,black,long,blankets,4,9,no,Friday,afternoon
134,23/10/2015,16,malay,female,moderate,40-50,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes,Friday,afternoon
135,23/10/2015,17,malay,female,moderate,40-50,yes,toddler,big,white,casual,red,short_sleeve,blue,long,clothes,6,10,no,Friday,afternoon
136,23/10/2015,17,malay,female,fat,40-50,no,no_kids,big,blue,casual,brown,short_sleeve,white,long,clothes,5,9,no,Friday,afternoon
137,23/10/2015,19,chinese,female,moderate,20-30,no,no_kids,big,white,casual,green,short_sleeve,black,long,clothes,6,7,no,Friday,afternoon
138,23/10/2015,19,chinese,male,moderate,40-50,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,3,9,no,Friday,afternoon
139,23/10/2015,20,chinese,female,moderate,30-40,no,no_kids,big,white,casual,green,short_sleeve,blue,long,blankets,5,7,no,Friday,night
140,23/10/2015,20,foreigner ,male,thin,40-50,no,no_kids,big,brown,casual,red,long sleeve,grey,long,clothes,6,9,no,Friday,night
141,23/10/2015,21,foreigner ,female,thin,40-50,no,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,Friday,night
142,23/10/2015,21,malay,female,moderate,40-50,yes,toddler,big,red,casual,orange,long sleeve,black,long,blankets,4,7,no,Friday,night
143,23/10/2015,22,indian,female,moderate,30-40,yes,young,big,red,casual,purple,short_sleeve,black,long,clothes,4,10,no,Friday,night
144,23/10/2015,22,chinese,female,thin,40-50,no,no_kids,big,blue,casual,pink,short_sleeve,brown,long,clothes,5,9,yes,Friday,night
145,23/10/2015,23,malay,male,fat,30-40,no,no_kids,big,blue,casual,blue,short_sleeve,black,long,clothes,3,7,no,Friday,night
146,24/10/2015,0,chinese,male,fat,30-40,no,no_kids,big,red,casual,blue,short_sleeve,green,short,clothes,3,9,yes,Saturday,midnight
147,24/10/2015,0,malay,female,thin,20-30,yes,baby,big,blue,casual,red,short_sleeve,grey,long,clothes,3,9,no,Saturday,midnight
148,24/10/2015,1,malay,male,fat,50-60,no,no_kids,big,red,casual,white,short_sleeve,black,long,blankets,3,7,yes,Saturday,midnight
149,24/10/2015,6,malay,male,thin,30-40,no,no_kids,big,red,casual,yellow,long sleeve,black,long,clothes,4,7,yes,Saturday,midnight
150,24/10/2015,6,chinese,female,moderate,30-40,no,no_kids,big,red,casual,purple,short_sleeve,black,long,clothes,6,9,no,Saturday,midnight
151,24/10/2015,8,indian,male,fat,30-40,no,no_kids,big,black,casual,white,long sleeve,brown,long,clothes,4,10,no,Saturday,morning
152,24/10/2015,9,indian,female,thin,40-50,no,no_kids,big,green,casual,brown,short_sleeve,grey,long,blankets,6,9,no,Saturday,morning
153,24/10/2015,9,malay,female,thin,40-50,no,no_kids,big,red,casual,brown,long sleeve,brown,long,blankets,3,7,no,Saturday,morning
154,24/10/2015,9,malay,female,moderate,40-50,no,no_kids,big,red,casual,red,long sleeve,brown,long,clothes,6,9,no,Saturday,morning
155,24/10/2015,9,malay,female,thin,40-50,no,no_kids,big,red,casual,green,long sleeve,red,long,clothes,6,8,no,Saturday,morning
156,24/10/2015,9,malay,male,fat,50-60,no,no_kids,small,white,casual,blue,long sleeve,black,long,blankets,6,10,no,Saturday,morning
157,24/10/2015,10,chinese,female,thin,50-60,no,no_kids,big,red,casual,pink,short_sleeve,brown,short,blankets,6,9,no,Saturday,morning
158,24/10/2015,10,malay,male,thin,40-50,yes,toddler,big,black,casual,black,short_sleeve,blue,long,clothes,4,10,no,Saturday,morning
159,24/10/2015,10,indian,female,fat,40-50,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,8,no,Saturday,morning
160,24/10/2015,10,malay,female,fat,40-50,no,no_kids,big,blue,casual,grey,short_sleeve,black,long,clothes,4,9,no,Saturday,morning
161,24/10/2015,11,malay,female,moderate,40-50,yes,young,big,red,casual,black,short_sleeve,red,long,clothes,4,7,no,Saturday,morning
162,24/10/2015,11,malay,male,fat,40-50,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,6,10,no,Saturday,morning
163,24/10/2015,11,indian,female,moderate,30-40,no,no_kids,big,red,casual,grey,short_sleeve,brown,short,blankets,6,7,no,Saturday,morning
164,24/10/2015,12,indian,female,fat,30-40,no,no_kids,big,black,casual,blue,long sleeve,black,long,clothes,3,7,no,Saturday,morning
165,24/10/2015,12,chinese,male,thin,50-60,yes,baby,big,blue,casual,black,short_sleeve,grey,long,blankets,6,7,yes,Saturday,morning
166,24/10/2015,12,chinese,male,moderate,50-60,no,no_kids,small,white,casual,red,short_sleeve,brown,short,clothes,6,10,no,Saturday,morning
167,24/10/2015,13,chinese,male,thin,50-60,no,no_kids,big,black,casual,red,short_sleeve,blue,long,clothes,6,7,no,Saturday,afternoon
168,24/10/2015,13,malay,female,fat,30-40,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,4,8,yes,Saturday,afternoon
169,24/10/2015,13,malay,female,thin,50-60,no,no_kids,big,grey,casual,red,short_sleeve,black,long,clothes,5,9,no,Saturday,afternoon
170,24/10/2015,13,malay,female,moderate,40-50,no,no_kids,big,white,casual,green,long sleeve,white,long,clothes,4,8,no,Saturday,afternoon
171,24/10/2015,14,malay,male,moderate,30-40,no,no_kids,big,red,casual,brown,short_sleeve,white,long,clothes,4,10,no,Saturday,afternoon
172,24/10/2015,14,indian,female,moderate,50-60,no,no_kids,small,white,casual,grey,short_sleeve,black,long,clothes,5,10,no,Saturday,afternoon
173,24/10/2015,14,foreigner ,male,thin,40-50,no,no_kids,big,grey,casual,blue,short_sleeve,black,long,clothes,6,7,no,Saturday,afternoon
174,24/10/2015,14,chinese,male,moderate,30-40,no,no_kids,big,black,casual,red,long sleeve,black,short,blankets,3,9,yes,Saturday,afternoon
175,24/10/2015,14,foreigner ,female,thin,40-50,no,no_kids,big,black,casual,orange,short_sleeve,black,long,clothes,4,8,no,Saturday,afternoon
176,24/10/2015,15,indian,male,fat,30-40,no,no_kids,big,brown,formal,orange,long sleeve,black,long,blankets,4,7,yes,Saturday,afternoon
177,24/10/2015,15,malay,female,thin,40-50,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,blankets,6,8,no,Saturday,afternoon
178,24/10/2015,15,malay,male,fat,30-40,no,no_kids,big,blue,casual,black,short_sleeve,blue,long,clothes,5,10,no,Saturday,afternoon
179,24/10/2015,15,chinese,female,thin,50-60,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,8,no,Saturday,afternoon
180,24/10/2015,15,chinese,male,moderate,30-40,no,no_kids,big,white,casual,black,short_sleeve,grey,long,clothes,4,7,yes,Saturday,afternoon
181,24/10/2015,17,indian,female,moderate,30-40,no,no_kids,big,orange,formal,red,long sleeve,blue,long,clothes,5,10,no,Saturday,afternoon
182,24/10/2015,17,indian,female,thin,50-60,yes,young,big,red,casual,white,short_sleeve,black,long,clothes,5,7,no,Saturday,afternoon
183,24/10/2015,17,indian,female,moderate,30-40,no,no_kids,big,black,casual,grey,short_sleeve,blue,short,blankets,6,10,no,Saturday,afternoon
184,24/10/2015,18,indian,female,moderate,40-50,no,no_kids,big,blue,casual,orange,short_sleeve,blue,long,clothes,3,7,no,Saturday,afternoon
185,24/10/2015,19,indian,female,thin,30-40,no,no_kids,big,black,casual,white,long sleeve,black,long,blankets,5,10,yes,Saturday,afternoon
186,24/10/2015,19,malay,male,thin,40-50,no,no_kids,big,orange,casual,red,short_sleeve,black,long,clothes,3,7,yes,Saturday,afternoon
187,24/10/2015,19,chinese,female,moderate,30-40,no,no_kids,big,orange,casual,black,short_sleeve,white,long,clothes,4,10,no,Saturday,afternoon
188,24/10/2015,20,malay,male,thin,40-50,no,no_kids,big,blue,casual,black,short_sleeve,blue,long,blankets,4,9,no,Saturday,night
189,24/10/2015,20,chinese,female,thin,50-60,no,no_kids,big,blue,casual,black,short_sleeve,white,long,clothes,4,8,no,Saturday,night
190,24/10/2015,20,malay,female,fat,20-30,no,no_kids,big,pink,casual,grey,long sleeve,blue,long,clothes,3,8,yes,Saturday,night
191,24/10/2015,20,malay,female,fat,40-50,no,no_kids,big,black,casual,blue,short_sleeve,black,long,clothes,5,7,no,Saturday,night
192,24/10/2015,20,malay,female,fat,50-60,no,no_kids,big,white,casual,blue,short_sleeve,brown,long,clothes,3,7,yes,Saturday,night
193,24/10/2015,21,indian,male,thin,40-50,no,no_kids,big,white,casual,red,short_sleeve,green,long,clothes,6,9,no,Saturday,night
